,country,time,"luminosity,pixel"
604,russia,201501,"(119348440.60287432, 315956.0498315365)"
605,saudiarab,201501,"(0, 0)"
606,uk,201501,"(0, 0)"
607,usa,201501,"(0, 0)"
608,indonesia,201501,"(403045.279752003, 23247.929268412157)"
609,iran,201501,"(251348.65988857113, 10592.942301008368)"
610,spain,201501,"(0, 0)"
611,turkey,201501,"(0, 0)"
612,brazil,201502,"(0, 0)"
613,canada,201502,"(0, 0)"
614,china,201502,"(33713933.58468361, 1061760.6009373514)"
615,france,201502,"(0, 0)"
616,germany,201502,"(0, 0)"
617,india,201502,"(13868562.593286952, 192401.33312913132)"
618,italy,201502,"(0, 0)"
619,japan,201502,"(4003039.6892421357, 486189.75870700413)"
620,korea,201502,"(202592.9098166041, 168093.68190633075)"
621,mexico,201502,"(0, 0)"
622,russia,201502,"(86668980.24531434, 144771.97579066863)"
623,saudiarab,201502,"(0, 0)"
624,uk,201502,"(0, 0)"
625,usa,201502,"(0, 0)"
626,indonesia,201502,"(563763.5901014525, 31058.3654171379)"
627,iran,201502,"(369445.2199675832, 5199.664469154446)"
628,spain,201502,"(0, 0)"
629,turkey,201502,"(0, 0)"
630,brazil,201503,"(0, 0)"
631,canada,201503,"(0, 0)"
632,china,201503,"(23369003.668751836, 598216.7017180756)"
633,france,201503,"(0, 0)"
634,germany,201503,"(0, 0)"
635,india,201503,"(12901043.686494924, 140730.61474627166)"
636,italy,201503,"(0, 0)"
637,japan,201503,"(3180198.1595271323, 152146.41812898446)"
638,korea,201503,"(62273.43981797248, 45287.16187139512)"
639,mexico,201503,"(0, 0)"
