Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
2012,Estonia,4672928.0,507201.94977571,1.8515566032834336,1322696,3.494634233
2013,Estonia,4672928.0,473295.05022429005,1.5081661873971617,1317997,1.707513193
2014,Estonia,4672928.0,473105.8128366993,0.04428047414683245,1314545,3.257770915
2015,Estonia,4672928.0,476286.58510504226,0.04496115492521016,1315407,1.7781451590000001
2016,Estonia,4672928.0,481821.2032841216,0.046145555407965166,1315790,2.601693921
2017,Estonia,4672928.0,480385.58247846743,0.04583833458075485,1317384,5.620848822
2018,Estonia,4672928.0,473756.98292695935,0.04441982362755637,1321977,4.3971823930000005
1992,Ethiopia,2466685.0,24521.0,0.009940872061086032,51423585,-11.89343511
1993,Ethiopia,2466685.0,30057.0,0.012185179704745438,53295566,9.168746611
1994,Ethiopia,2466685.0,52145.0,0.02113970774541541,55180998,-0.335844453
1995,Ethiopia,2466685.0,42360.0,0.017172845336960334,57047908,2.654456585
1996,Ethiopia,2466685.0,39616.0,0.016060421172545337,58883530,8.921425371
1997,Ethiopia,2466685.0,73212.0,0.029680319943567988,60697443,0.051801162000000005
1998,Ethiopia,2466685.0,83648.0,0.03391109930939702,62507724,-6.254079943
1999,Ethiopia,2466685.0,90538.0,0.0367043217922029,64343013,2.1625516080000002
2000,Ethiopia,2466685.0,93961.0,0.03809201418097568,66224804,3.0591258710000004
2001,Ethiopia,2466685.0,101844.0,0.041287801239315115,68159423,5.227310742
2002,Ethiopia,2466685.0,113827.0,0.04614573810600056,70142091,-1.354735345
2003,Ethiopia,2466685.0,100264.0,0.040647265459513485,72170584,-4.9113027869999994
2004,Ethiopia,2466685.0,124095.0,0.050308409869926636,74239505,10.40753969
2005,Ethiopia,2466685.0,124855.0,0.05061651568805908,76346311,8.733083824
2006,Ethiopia,2466685.0,149251.0,0.060506712450110176,78489206,7.80874178
2007,Ethiopia,2466685.0,159226.0,0.06455060131309835,80674348,8.437269944
2008,Ethiopia,2466685.0,88732.0,0.03597216507174609,82916235,7.793024525
2009,Ethiopia,2466685.0,74014.0,0.030005452662176163,85233913,5.843997442
2010,Ethiopia,2466685.0,129111.0,0.0523419082696007,87639964,9.460597148
2011,Ethiopia,2466685.0,115153.0,0.0466833016781632,90139927,8.094849899
2012,Ethiopia,4672928.0,130958.83136601273,0.05770265337864022,92726971,5.616582788
2013,Ethiopia,4672928.0,113097.16863398727,0.05371739811473651,95385785,7.499864344
2014,Ethiopia,4672928.0,149426.13334818813,0.06781277025484096,98094253,7.213187282000001
2015,Ethiopia,4672928.0,189794.04824916626,0.07645144709749252,100835458,7.391451495
2016,Ethiopia,4672928.0,95882.51595216492,0.05635451166493264,103603501,6.509676197
2017,Ethiopia,4672928.0,416849.9266309402,0.1250410847683006,106400024,6.684502545
2018,Ethiopia,4672928.0,362579.63419261854,0.11342731874444542,109224559,4.053894044
1992,Georgia,240097.0,107212.0,0.4465361916225525,4873500,-45.32510688
1993,Georgia,240097.0,142722.0,0.5944347492888291,4911100,-29.84128975
1994,Georgia,240097.0,128849.0,0.5366539357009875,4836076,-9.009993111
1995,Georgia,240097.0,64800.0,0.2698909190868691,4657722,6.528767293
1996,Georgia,240097.0,53449.0,0.2226141934301553,4491699,15.31019666
1997,Georgia,240097.0,91704.0,0.3819456303077505,4349913,14.1214244
1998,Georgia,240097.0,137797.0,0.5739222064415632,4243607,5.687769104
1999,Georgia,240097.0,89801.0,0.3740196670512335,4157192,5.00758667
2000,Georgia,240097.0,120527.0,0.5019929445182572,4077131,3.838100222
2001,Georgia,240097.0,122237.0,0.5091150659941607,4014373,6.443910455
2002,Georgia,240097.0,156921.0,0.6535733474387435,3978515,6.424463127999999
2003,Georgia,240097.0,122911.0,0.5119222647513296,3951736,11.81131466
2004,Georgia,240097.0,153797.0,0.6405619395494321,3927340,6.451674734
2005,Georgia,240097.0,176324.0,0.7343865187819922,3902469,10.28800424
2006,Georgia,240097.0,201468.0,0.8391108593610083,3880347,10.04357675
2007,Georgia,240097.0,258119.0,1.0750613293793758,3860158,13.16775197
2008,Georgia,240097.0,162879.0,0.6783883180547862,3848449,2.730182777
2009,Georgia,240097.0,121717.0,0.506949274668155,3814419,-2.7909403339999996
2010,Georgia,240097.0,207690.0,0.8650253855733308,3786695,7.027385248
2011,Georgia,240097.0,213753.0,0.8902776794378938,3756441,8.264988855
2012,Georgia,4672928.0,251605.8597950491,0.5586830176874626,3728874,7.1553782539999995
